"","Year","CountryName","TotalAdj","predicted","residuals","Gold","Silver","Bronze","locCity"
"6017",2014,"Bosnia and Herzegovina",0,0,-0.19252585487562,0,0,0,"Sochi"
"4949",1994,"Brazil",0,1,-0.716803958857484,0,0,0,"Lillehammer"
"5163",1998,"Brazil",0,1,-1.12515212171996,0,0,0,"Nagano"
"5377",2002,"Brazil",0,1,-1.01952750310258,0,0,0,"Salt Lake City"
"5591",2006,"Brazil",0,1,-0.968590117390644,0,0,0,"Torino"
"5805",2010,"Brazil",0,1,-0.995236855957533,0,0,0,"Vancouver"
"6019",2014,"Brazil",0,1,-1.39299571967343,0,0,0,"Sochi"
"4095",1980,"Bulgaria",1,0,0.893392520705643,0,0,1,"Lake Placid"
"4309",1984,"Bulgaria",0,1,-0.510982975839753,0,0,0,"Sarajevo"
"4523",1988,"Bulgaria",0,0,-0.0658679560017289,0,0,0,"Calgary"
"4737",1992,"Bulgaria",0,0,-0.490855491085219,0,0,0,"Albertville"
"4951",1994,"Bulgaria",0,0,0.341240807756705,0,0,0,"Lillehammer"
"5165",1998,"Bulgaria",1,0,0.972277149415681,1,0,0,"Nagano"
"5379",2002,"Bulgaria",3,1,1.86949860153189,0,1,2,"Salt Lake City"
"5593",2006,"Bulgaria",1,3,-1.88444946300317,0,1,0,"Torino"
"5807",2010,"Bulgaria",0,1,-0.989578725531235,0,0,0,"Vancouver"
"6021",2014,"Bulgaria",0,0,-0.483700324708493,0,0,0,"Sochi"
"3244",1964,"Canada",3,5,-2.11722341414032,1,1,1,"Innsbruck"
"3458",1968,"Canada",3,4,-0.71620689192841,1,1,1,"Grenoble"
"3672",1972,"Canada",1,3,-1.73952552364969,0,1,0,"Sapporo"
"3886",1976,"Canada",3,1,1.74043382626383,1,1,1,"Innsbruck"
"4100",1980,"Canada",2,4,-1.66130647840551,0,1,1,"Lake Placid"
"4314",1984,"Canada",4,2,1.5900944557213,2,1,1,"Sarajevo"
"4528",1988,"Canada",5,5,0.299378438612994,0,2,3,"Calgary"
"4742",1992,"Canada",7,6,0.613769672032867,2,3,2,"Albertville"
"4956",1994,"Canada",13,7,5.62853352188547,3,6,4,"Lillehammer"
