"","Year","YearCode","CountryName","CountryCode","GDP","Pop","olympiccountry","GameType","Yearextra","locCity","locCountry","Rank","Gold","Silver","Bronze","Total","Participant","ParticMedalCheck","TotalAdj","AvgAnnualTemp","NumEvents","NumMedals","logPop","logGDP","logGDPperCap","TotalAdjLagBy1","predicted","residuals"
"4505",1988,"YR1988","Australia","AUS",236924476135,16532200,"Australia","Winter",1988,"Calgary","Canada",0,0,0,0,0,1,0,0,21.50667634,13,70,16.6208205522904,26.1910072611997,9.57018670890927,0,1,-0.859295324337722
"4719",1992,"YR1992","Australia","AUS",325389525494,17495000,"Australia","Winter",1992,"Albertville","France",0,0,0,0,0,1,0,0,21.50667634,14,145,16.6774256837839,26.508288841582,9.8308631577981,0,2,-1.70521459100028
"4933",1994,"YR1994","Australia","AUS",322830854376,17855000,"Australia","Winter",1994,"Lillehammer","Norway",22,0,0,1,1,1,0,1,21.50667634,12,183,16.6977941390107,26.5003943523432,9.80260021333247,0,1,0.114048423978621
"5147",1998,"YR1998","Australia","AUS",399523163535,18711000,"Australia","Winter",1998,"Nagano","Japan",23,0,0,1,1,1,0,1,21.50667634,14,205,16.7446221441764,26.713537581786,9.96891543760966,1,2,-1.11168915015345
"5361",2002,"YR2002","Australia","AUS",394442235245,19651400,"Australia","Winter",2002,"Salt Lake City","United States",19,2,0,0,2,1,0,2,21.50667634,15,234,16.7936591405609,26.7007385412766,9.9070794007157,1,2,-0.206722130456016
"5575",2006,"YR2006","Australia","AUS",747463312369,20697900,"Australia","Winter",2006,"Torino","Italy",18,1,0,1,2,1,0,2,21.50667634,15,252,16.8455428038139,27.339951060564,10.4944082567501,2,3,-1.00858021325995
"5789",2010,"YR2010","Australia","AUS",1141793593834,22065300,"Australia","Winter",2010,"Vancouver","Canada",18,2,1,0,3,1,0,3,21.50667634,15,258,16.9095167967864,27.7636214698758,10.8541046730894,2,3,0.0763494533218225
"3222",1964,"YR1964","Austria","AUT",9169983886,7223801,"Austria","Winter",1964,"Innsbruck","Austria",3,4,5,3,12,1,0,12,6.186012748,11,69,15.7928918266342,22.9392013659613,7.14630953932714,6,6,5.53813998251834
"3436",1968,"YR1968","Austria","AUT",12440625313,7415403,"Austria","Winter",1968,"Grenoble","France",3,3,4,4,11,1,0,11,6.186012748,10,77,15.8190698813693,23.2442331893125,7.42516330794319,12,11,-0.395343936236733
"3650",1972,"YR1972","Austria","AUT",21832965362,7544201,"Austria","Winter",1972,"Sapporo","Japan",9,1,2,2,5,1,0,5,6.186012748,10,67,15.8362897466308,23.8066868371286,7.97039709049778,11,10,-4.55980423774514
"3864",1976,"YR1976","Austria","AUT",42518592468,7565525,"Austria","Winter",1976,"Innsbruck","Austria",7,2,2,2,6,1,0,6,6.186012748,10,54,15.8391123013426,24.47320728705,8.63409498570749,5,4,1.52688941724877
