Year,YearCode,Country Name,Country Code,GDP,Pop,olympiccountry,GameType,Year,locCity,locCountry,Rank,Gold,Silver,Bronze,Total,Participant,ParticMedalCheck,TotalAdj,AvgAnnualTemp,NumEvents,NumMedals
1960,YR1960,Costa Rica,CRI,507516617,1334044,Costa Rica,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,23.85092872,19,301
1960,YR1960,Cote d'Ivoire,CIV,546203558,3474724,Cote d'Ivoire,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,26.29971557,19,301
1960,YR1960,Croatia,HRV,,4140000,Croatia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,10.47091069,19,301
1960,YR1960,Cuba,CUB,,7141130,Cuba,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,25.13007697,19,301
1960,YR1960,Curacao,CUW,,0,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Cyprus,CYP,,572929,Cyprus,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,18.71350002,19,301
1960,YR1960,Czech Republic,CZE,,9602006,Czech Republic,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,7.665499973,19,301
1960,YR1960,Denmark,DNK,6248946880,4579603,Denmark,Summer,1960,Roma,Italy,14,2,3,1,6,1,0,6,7.818978497,19,301
1960,YR1960,Djibouti,DJI,,83636,Djibouti,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,27.64300019,19,301
1960,YR1960,Dominica,DMA,,60016,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Dominican Republic,DOM,672399744,3311788,Dominican Republic,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,23.92974985,19,301
1960,YR1960,Ecuador,ECU,1010325080,4514593,Ecuador,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,21.32904646,19,301
1960,YR1960,"Egypt, Arab Rep.",EGY,4144244345,27997745,Egypt,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,22.12045302,19,301
1960,YR1960,El Salvador,SLV,,2772970,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,24.77087498,19,301
1960,YR1960,Equatorial Guinea,GNQ,,252115,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,24.12599966,19,301
1960,YR1960,Eritrea,ERI,,1404810,Eritrea,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,26.06832509,19,301
1960,YR1960,Estonia,EST,,1215650,Estonia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,5.030938424,19,301
1960,YR1960,Ethiopia,ETH,,22151218,Ethiopia,Summer,1960,Roma,Italy,33,1,0,0,1,1,0,1,22.37039295,19,301
1960,YR1960,Faeroe Islands,FRO,,34266,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Fiji,FJI,112334368,393383,,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,23.37100029,19,301
1960,YR1960,Finland,FIN,5224102196,4429634,Finland,Summer,1960,Roma,Italy,17,1,1,3,5,1,0,5,1.347861143,19,301
1960,YR1960,France,FRA,62651474947,46647521,France,Summer,1960,Roma,Italy,18,0,2,3,5,1,0,5,10.54372223,19,301
1960,YR1960,French Polynesia,PYF,,78083,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Gabon,GAB,141468978,498823,Gabon,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,24.99982139,19,301
1960,YR1960,"Gambia, The",GMB,,367929,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,26.772,19,301
1960,YR1960,Georgia,GEO,,3645600,Georgia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,7.3648176,19,301
1960,YR1960,Germany,DEU,,72814900,Germany,Summer,1960,Roma,Italy,3,12,19,11,42,0,1,0,8.504451892,19,301
