"","Year","YearCode","CountryName","CountryCode","GDP","Pop","olympiccountry","GameType","Yearextra","locCity","locCountry","Rank","Gold","Silver","Bronze","Total","Participant","ParticMedalCheck","TotalAdj","AvgAnnualTemp","NumEvents","NumMedals","logPop","logGDP","logGDPperCap","TotalAdjLagBy1","predicted","residuals"
"2570",2008,"YR2008","Albania","ALB",12968652891,3156608,"","Summer",2008,"Beijing","China",0,0,0,0,0,1,0,0,11.26980007,35,954,14.9650085913162,23.2858009664265,8.32079237511029,0,0,-0.247494958608029
"2784",2012,"YR2012","Albania","ALB",12648095824,3162083,"","Summer",2012,"London","Great Britain",0,0,0,0,0,1,0,0,11.26980007,32,960,14.9667415456164,23.2607725130425,8.29403096742606,0,0,-0.0801008437526987
"431",1968,"YR1968","Algeria","DZA",3852147113,13887045,"Algeria","Summer",1968,"Ciudad de Mexico","Mexico",0,0,0,0,0,1,0,0,22.57579114,22,363,16.446466949117,22.0718965214822,5.62542957236523,0,0,-0.457924594735453
"645",1972,"YR1972","Algeria","DZA",6761786484,15511892,"Algeria","Summer",1972,"Munchen","West Germany",0,0,0,0,0,1,0,0,22.57579114,25,382,16.5571175135287,22.6345529648684,6.07743545133979,0,0,-0.395612831063433
"1073",1980,"YR1980","Algeria","DZA",42345276288,19475204,"Algeria","Summer",1980,"Moskva","Soviet Union",0,0,0,0,0,1,0,0,22.57579114,23,287,16.7846526246341,24.4691227119887,7.6844700873546,0,2,-1.65419435565422
"1287",1984,"YR1984","Algeria","DZA",53698280323,22150483,"Algeria","Summer",1984,"Los Angeles","United States",34,0,0,2,2,1,0,2,22.57579114,27,610,16.9133698600867,24.7066468141682,7.79327695408145,0,3,-1.02177550697148
"1501",1988,"YR1988","Algeria","DZA",59089065517,24904931,"Algeria","Summer",1988,"Seoul","South Korea",0,0,0,0,0,1,0,0,22.57579114,30,444,17.0305763739577,24.802311727608,7.77173535365027,2,1,-0.735557830330204
"1715",1992,"YR1992","Algeria","DZA",48003297249,27535151,"Algeria","Summer",1992,"Barcelona","Spain",42,1,0,1,2,1,0,2,22.57579114,32,692,17.1309739645932,24.5945355381826,7.46356157358934,0,1,0.517065057084231
"1929",1996,"YR1996","Algeria","DZA",46941496308,29845208,"Algeria","Summer",1996,"Atlanta","United States",42,2,0,1,3,1,0,3,22.57579114,31,837,17.2115348489022,24.5721679038957,7.36063305499354,2,3,0.365339170897065
"2143",2000,"YR2000","Algeria","DZA",54790058957,31719449,"Algeria","Summer",2000,"Sydney","Australia",38,1,1,3,5,1,0,5,22.57579114,34,918,17.272440583836,24.7267746085502,7.45433402471414,3,4,0.958876478358302
"2357",2004,"YR2004","Algeria","DZA",85324997370,33461345,"Algeria","Summer",2004,"Athina","Greece",0,0,0,0,0,1,0,0,22.57579114,34,920,17.3259014499655,25.1697333009159,7.84383185095035,5,6,-5.527946626856
"2571",2008,"YR2008","Algeria","DZA",171000162581,35725377,"Algeria","Summer",2008,"Beijing","China",64,0,1,1,2,1,0,2,22.57579114,35,954,17.3913718345587,25.8649303442147,8.47355850965603,0,1,0.939429856272352
"2785",2012,"YR2012","Algeria","DZA",205788796017,38481705,"Algeria","Summer",2012,"London","Great Britain",69,1,0,0,1,1,0,1,22.57579114,32,960,17.465693491512,26.0501162177419,8.58442272622995,2,3,-1.82802819070234
"1504",1988,"YR1988","Angola","AGO",7975234067,9798055,"","Summer",1988,"Seoul","South Korea",0,0,0,0,0,1,0,0,21.51093269,30,444,16.0976944545554,22.7996068352807,6.70191238072527,0,0,1.75767461921388
"1718",1992,"YR1992","Angola","AGO",5779394292,11002758,"","Summer",1992,"Barcelona","Spain",0,0,0,0,0,1,0,0,21.51093269,32,692,16.2136565266085,22.4775647203678,6.26390819375928,0,1,-0.824276831380981
"1932",1996,"YR1996","Angola","AGO",7526446606,12451945,"","Summer",1996,"Atlanta","United States",0,0,0,0,0,1,0,0,21.51093269,31,837,16.3373873935728,22.7416888691056,6.40430147553286,0,0,-0.194884391764982
