Time_Value,Time_ValueCode,Country_Name,Country_Code,"Population, total"
1960,YR1960,Mauritania,MRT,858316
1960,YR1960,Mauritius,MUS,659351
1960,YR1960,Mexico,MEX,38676974
1960,YR1960,"Micronesia, Fed. Sts.",FSM,44539
1960,YR1960,Middle East & North Africa (all income levels),MEA,106552352
1960,YR1960,Middle East & North Africa (developing only),MNA,98926516
1960,YR1960,Middle income,MIC,1928592834
1960,YR1960,Moldova,MDA,2544000
1960,YR1960,Monaco,MCO,22454
1960,YR1960,Mongolia,MNG,955508
1960,YR1960,Montenegro,MNE,479099
1960,YR1960,Morocco,MAR,12328534
1960,YR1960,Mozambique,MOZ,7647284
1960,YR1960,Myanmar,MMR,21486424
1960,YR1960,Namibia,NAM,602545
1960,YR1960,Nepal,NPL,9544938
1960,YR1960,Netherlands,NLD,11486631
1960,YR1960,New Caledonia,NCL,79000
1960,YR1960,New Zealand,NZL,2371800
1960,YR1960,Nicaragua,NIC,1774574
1960,YR1960,Niger,NER,3337141
1960,YR1960,Nigeria,NGA,45211614
1960,YR1960,North America,NAC,198624409
1960,YR1960,Northern Mariana Islands,MNP,10070
1960,YR1960,Norway,NOR,3581239
1960,YR1960,OECD members,OED,787003522
1960,YR1960,Oman,OMN,551737
1960,YR1960,Other small states,OSS,6625745
1960,YR1960,Pacific island small states,PSS,853114
1960,YR1960,Pakistan,PAK,45540594
1960,YR1960,Palau,PLW,9638
1960,YR1960,Panama,PAN,1136090
1960,YR1960,Papua New Guinea,PNG,1966957
1960,YR1960,Paraguay,PRY,1907041
1960,YR1960,Peru,PER,9931518
1960,YR1960,Philippines,PHL,26271731
1960,YR1960,Poland,POL,29637450
1960,YR1960,Portugal,PRT,8857716
1960,YR1960,Puerto Rico,PRI,2358000
1960,YR1960,Qatar,QAT,47316
1960,YR1960,Romania,ROM,18406905
1960,YR1960,Russian Federation,RUS,119897000
1960,YR1960,Rwanda,RWA,2933424
1960,YR1960,Samoa,WSM,108645
1960,YR1960,San Marino,SMR,15393
1960,YR1960,Sao Tome and Principe,STP,64255
1960,YR1960,Saudi Arabia,SAU,4072110
1960,YR1960,Senegal,SEN,3177737
1960,YR1960,Serbia,SRB,
1960,YR1960,Seychelles,SYC,41700
1960,YR1960,Sierra Leone,SLE,2160111
1960,YR1960,Singapore,SGP,1646000
1960,YR1960,Sint Maarten (Dutch part),SXM,
1960,YR1960,Slovak Republic,SVK,4068095
1960,YR1960,Slovenia,SVN,1584720
1960,YR1960,Small states,SST,11665832
1960,YR1960,Solomon Islands,SLB,117869
